연 번,행정동,도로명주소,지번주소,위도,경도
321,효창동,서울특별시 용산구 백범로43길 10 (효창동),서울특별시 용산구 효창동 5-268,37.54110351,126.9577115
322,효창동,서울특별시 용산구 백범로47가길 25 (효창동),서울특별시 용산구 효창동 5-194,37.54200171,126.95859
323,효창동,서울특별시 용산구 백범로47나길 8 (효창동),서울특별시 용산구 효창동 5-516,37.54200388,126.9595615
324,효창동,서울특별시 용산구 백범로47길 16 (효창동),서울특별시 용산구 효창동 5-580,37.54094519,126.9590657
325,효창동,서울특별시 용산구 효창원로 146-28 (효창동),서울특별시 용산구 효창동 5-69,37.54138971,126.9637245
326,효창동,서울특별시 용산구 백범로79길 73 (효창동),서울특별시 용산구 효창동 5-677,37.54202055,126.9645042
327,효창동,서울특별시 용산구 백범로47길 31 (효창동),서울특별시 용산구 효창동 5-205,37.54131706,126.959584
328,효창동,서울특별시 용산구 백범로 261 (효창동),서울특별시 용산구 효창동 5-247,37.54058307,126.9587157
329,효창동,서울특별시 용산구 백범로79길 67 (효창동),서울특별시 용산구 효창동 5-682,37.5417311,126.9646825
330,효창동,서울특별시 용산구 효창원로76길 31 (효창동),서울특별시 용산구 효창동 2-41,37.54328149,126.9639363
331,효창동,서울특별시 용산구 백범로47길 48 (효창동),서울특별시 용산구 효창동 5-170,37.54170716,126.9601638
332,효창동,서울특별시 용산구 효창원로69가길 13 (효창동),서울특별시 용산구 효창동 5-252,37.54142378,126.9608607
333,효창동,서울특별시 용산구 백범로 276 (효창동),서울특별시 용산구 효창동 236-1,37.53963908,126.9599568
334,효창동,서울특별시 용산구 백범로45길 27 (효창동),서울특별시 용산구 효창동 5-187,37.5416673,126.9588466
335,효창동,서울특별시 용산구 효창원로69길 50 (효창동),서울특별시 용산구 효창동5-570,37.54283184,126.9598932
336,효창동,서울특별시 용산구 효창원로70길 23-5 (효창동),서울특별시 용산구 효창동 5-724,37.54209079,126.9633758
337,효창동,서울특별시 용산구 효창원로70길 18 (효창동),서울특별시 용산구 효창동 5-47,37.5415666,126.9632427
338,효창동,서울특별시 용산구 효창원로70길 22 (효창동),서울특별시 용산구 효창동 5-46,37.54162647,126.9634068
339,효창동,서울특별시 용산구 효창원로 145-11 (효창동),서울특별시 용산구 효창동 5-542,37.54128012,126.961473
340,효창동,서울특별시 용산구 효창원로64길 2 (효창동),서울특별시 용산구 효창동 5-103,37.54007765,126.9619778
341,효창동,서울특별시 용산구 효창원로66길 18 (효창동),서울특별시 용산구 효창동 5-84,37.54071601,126.9629613
